query_id,user_id,timestamp,user_age,user_location,device,account_type,intention,query_text,response_time,satisfaction_score
1,15796,2023-10-17 08:00:00,23,urban,web,credit,check_balance,How much money do I have left?,23,4
2,861,2022-04-25 13:00:00,47,urban,mobile,checking,check_balance,What's my current balance?,57,1
3,5391,2022-01-26 08:00:00,38,rural,mobile,savings,transfer_money,Make a wire transfer.,45,1
4,11965,2022-10-09 11:00:00,73,urban,mobile,checking,report_fraud,I think my card was stolen.,48,2
5,11285,2022-09-08 18:00:00,39,urban,mobile,credit,payment_issue,Payment not going through.,15,4
6,6266,2022-08-17 09:00:00,74,urban,mobile,savings,open_account,Apply for checking account. 501,41,1
7,16851,2022-05-23 14:00:00,28,rural,web,savings,loan_inquiry,Apply for personal loan. 233,56,1
8,4427,2022-04-15 08:00:00,56,urban,mobile,credit,card_activation,Card activation code. 347,11,3
9,14424,2023-11-24 08:00:00,57,rural,web,credit,card_activation,How to activate debit card?,15,4
10,11364,2023-07-13 10:00:00,59,urban,app,savings,loan_inquiry,What are loan rates?,32,2
11,16024,2022-03-31 14:00:00,24,rural,mobile,credit,payment_issue,Bill payment error.,50,1
12,8323,2023-08-28 16:00:00,24,rural,web,credit,open_account,Apply for checking account. 495,27,3
13,1686,2023-03-09 12:00:00,48,rural,mobile,checking,open_account,Open savings account online.,49,1
14,770,2022-02-02 18:00:00,73,urban,web,savings,transfer_money,Send money to friend.,56,1
15,2434,2022-01-31 17:00:00,23,urban,mobile,savings,transfer_money,Transfer $100 to my savings. 463,46,2
16,5312,2022-04-06 14:00:00,43,rural,mobile,checking,card_activation,Card activation code. 600,42,2
17,5052,2022-08-12 15:00:00,53,rural,mobile,checking,check_balance,Check my account balance please. 400,20,4
18,6421,2022-08-27 17:00:00,26,rural,app,checking,report_fraud,Report fraudulent transaction.,30,2
19,17569,2023-06-02 15:00:00,73,urban,mobile,checking,check_balance,What's my current balance?,43,1
20,19770,2023-09-09 16:00:00,53,urban,mobile,credit,report_fraud,I think my card was stolen. 634,44,1
21,6397,2022-01-28 19:00:00,20,urban,mobile,credit,card_activation,Card activation code.,38,1
22,8667,2023-07-29 11:00:00,78,urban,mobile,credit,report_fraud,Report fraudulent transaction. 659,60,1
23,18943,2022-07-23 12:00:00,74,rural,mobile,savings,loan_inquiry,Check eligibility for mortgage.,55,1
24,18432,2023-10-28 10:00:00,61,urban,web,savings,card_activation,Activate my new credit card. 491,42,2
25,2748,2023-12-20 10:00:00,48,rural,mobile,savings,loan_inquiry,What are loan rates?,10,5
26,190,2023-07-13 17:00:00,70,rural,web,savings,report_fraud,Report fraudulent transaction.,41,1
27,19119,2023-03-06 15:00:00,47,rural,app,credit,loan_inquiry,What are loan rates?,36,3
28,3006,2022-08-14 16:00:00,48,urban,web,credit,check_balance,What's my current balance?,55,1
29,1900,2023-04-05 11:00:00,60,rural,web,checking,payment_issue,Bill payment error. 730,48,1
30,1268,2023-08-27 17:00:00,60,urban,mobile,checking,loan_inquiry,Check eligibility for mortgage.,40,1
31,17913,2022-10-12 15:00:00,57,urban,web,savings,transfer_money,Transfer $100 to my savings.,43,2
32,11395,2022-01-07 13:00:00,47,urban,mobile,credit,open_account,How to open a new account?,19,3
33,3557,2022-06-13 13:00:00,26,urban,mobile,savings,open_account,Apply for checking account. 214,38,2
34,3891,2023-12-16 15:00:00,23,urban,mobile,savings,check_balance,Check my account balance please.,14,3
35,8839,2023-03-09 18:00:00,42,rural,web,checking,transfer_money,Transfer $100 to my savings. 718,24,3
36,14503,2022-12-15 20:00:00,47,urban,mobile,checking,payment_issue,Payment not going through.,39,2
37,10628,2022-10-12 15:00:00,43,urban,mobile,savings,loan_inquiry,Check eligibility for mortgage.,44,1
38,8793,2022-06-09 17:00:00,20,rural,app,credit,check_balance,What's my current balance? 445,44,2
39,10556,2022-08-09 12:00:00,39,urban,mobile,savings,loan_inquiry,Apply for personal loan.,49,2
40,10254,2022-12-11 13:00:00,59,urban,mobile,checking,check_balance,How much money do I have left? 329,11,4
41,8434,2022-04-15 09:00:00,62,urban,mobile,credit,payment_issue,Why was my payment declined? 545,25,3
42,10234,2022-04-05 18:00:00,26,urban,mobile,credit,card_activation,Card activation code.,22,4
43,11017,2023-01-25 18:00:00,67,urban,app,credit,transfer_money,Send money to friend. 991,34,1
44,2613,2022-04-10 13:00:00,52,urban,mobile,checking,payment_issue,Why was my payment declined?,36,1
45,15788,2023-01-03 14:00:00,24,urban,app,credit,report_fraud,I think my card was stolen. 752,20,2
46,17160,2022-12-19 14:00:00,54,urban,mobile,checking,card_activation,Activate my new credit card.,51,1
47,12207,2023-09-11 15:00:00,65,urban,mobile,credit,check_balance,What's my current balance?,46,1
48,8227,2022-09-28 09:00:00,26,rural,mobile,checking,loan_inquiry,Apply for personal loan. 240,39,2
49,14542,2022-02-14 09:00:00,44,urban,web,savings,card_activation,How to activate debit card?,21,3
50,3153,2023-04-16 16:00:00,45,urban,app,savings,loan_inquiry,Apply for personal loan.,46,1
51,1586,2023-07-04 10:00:00,78,urban,web,savings,loan_inquiry,Apply for personal loan.,36,2
52,3944,2022-05-08 15:00:00,62,rural,mobile,savings,report_fraud,Unauthorized charge on my account. 175,39,3
53,19458,2023-01-23 11:00:00,61,urban,app,checking,loan_inquiry,Check eligibility for mortgage.,24,4
54,1022,2022-03-22 13:00:00,50,urban,web,credit,card_activation,Card activation code. 186,22,2
55,11654,2023-07-20 10:00:00,80,rural,app,savings,report_fraud,I think my card was stolen.,39,1
56,10806,2022-10-28 10:00:00,73,urban,web,savings,transfer_money,Make a wire transfer.,44,1
57,13418,2023-10-06 17:00:00,76,rural,mobile,checking,check_balance,How much money do I have left?,47,2
58,7990,2023-09-26 11:00:00,71,rural,mobile,savings,card_activation,How to activate debit card?,14,3
59,9693,2023-01-06 20:00:00,78,urban,web,credit,transfer_money,Send money to friend.,19,5
60,12991,2023-08-15 16:00:00,67,rural,mobile,credit,open_account,How to open a new account? 400,44,1
61,6874,2022-07-16 16:00:00,79,rural,web,credit,transfer_money,Send money to friend.,24,2
